0;1.6;1.7;1.3
1;1.6;2.3;1.5
2;1.7;1.8;1.2
3;1.6;2.3;1.9
4;2.2;2.2;1.7
5;2.1;2.0;1.4
6;2.4;1.9;1.1
7;1.9;2.1;1.1
8;2.2;1.8;1.1
9;2.7;1.7;1.1
10;2.7;2.1;1.3
11;1.5;1.4;1.0
12;1.3;1.7;1.1
13;1.4;1.7;1.3
14;1.7;2.3;1.9
15;1.5;2.3;1.2
16;1.8;1.9;1.0
17;1.9;2.0;1.4
18;2.0;2.0;1.1
19;2.0;2.6;1.3
20;1.9;2.0;1.1
21;2.8;2.1;1.5
22;2.0;1.6;1.1
23;2.2;1.8;1.3
24;2.1;1.9;1.3
25;1.7;2.2;1.5
26;1.5;2.5;1.1
27;1.8;2.3;1.4
28;2.0;1.8;1.2
29;1.2;2.1;1.2
30;2.3;1.9;1.5
31;2.4;1.7;1.3
32;2.3;1.8;1.4
33;2.6;2.5;1.8
34;2.6;2.2;1.4
35;1.9;2.3;2.4
36;2.0;1.9;1.2
37;2.3;2.4;1.3
38;1.9;2.3;1.4
39;2.0;2.3;3.4
40;1.5;2.5;3.7
41;1.3;2.3;1.9
42;1.4;2.1;2.3
43;1.9;2.6;2.5
44;1.7;2.1;2.3
45;1.7;2.3;2.0
46;1.8;2.7;2.2
47;1.6;2.2;2.0
48;1.7;2.3;2.0
49;1.3;1.9;2.6
50;1.6;2.4;2.9
51;2.1;2.2;2.8
52;1.3;2.1;2.1
53;1.6;2.0;2.0
54;1.5;2.4;2.4
55;1.4;1.8;1.9
56;1.4;2.1;2.0
57;1.2;2.5;2.2
58;1.5;2.6;2.1
59;1.5;2.6;1.9
60;1.7;2.3;2.2
61;2.7;1.9;1.8
62;1.5;2.7;2.2
63;1.6;2.6;2.8
64;1.6;2.3;2.9
65;1.9;2.5;3.7
66;1.9;2.6;2.2
67;1.4;2.3;2.9
68;1.7;2.7;2.3
69;1.7;2.1;2.7
70;1.6;1.9;2.2
71;1.5;2.2;2.8
72;1.7;2.5;2.1
73;2.2;2.3;2.1
74;1.7;2.6;2.4
75;1.4;2.3;2.1
76;1.3;2.4;2.3
77;1.2;2.2;3.1
78;1.3;2.3;2.6
79;1.1;2.0;2.4
80;1.5;2.5;3.5
81;1.5;2.4;2.1
82;1.5;2.0;2.4
83;1.9;2.3;1.5
84;1.5;2.6;3.0
85;1.4;2.0;2.4
86;1.3;2.1;3.7
87;1.4;2.2;2.7
88;1.2;2.4;2.8
89;1.4;1.9;2.4
90;1.3;2.1;2.1
91;1.4;2.2;1.6
92;1.2;2.3;1.6
93;1.3;2.9;2.8
94;1.6;2.4;2.5
