0;5.3
1;7.2
2;5.0
3;8.5
4;7.2
5;6.0
6;5.3
7;5.0
8;4.8
9;5.1
10;4.7
11;5.1
12;5.6
13;5.2
14;8.5
15;5.5
16;4.9
17;4.5
18;5.0
19;5.1
20;4.8
21;5.5
22;4.9
23;5.0
24;5.5
25;6.3
26;5.2
27;6.0
28;5.1
29;7.2
30;5.2
31;4.7
32;5.0
33;8.5
34;4.5
35;7.5
36;6.6
37;6.3
38;6.8
39;15.0
40;14.3
41;10.2
42;11.0
43;10.5
44;10.9
45;11.0
46;9.3
47;11.5
48;11.5
49;12.8
50;11.1
51;10.2
52;10.4
53;10.9
54;11.5
55;10.0
56;14.0
57;11.5
58;11.5
59;11.5
60;11.0
61;10.0
62;11.6
63;11.4
64;12.5
65;12.7
66;10.0
67;11.0
68;10.0
69;12.0
70;10.0
71;12.0
72;10.0
73;9.5
74;9.5
75;10.0
76;10.5
77;12.5
78;13.3
79;11.1
80;14.0
81;10.0
82;12.0
83;11.0
84;13.2
85;10.2
86;14.5
87;11.5
88;10.0
89;11.5
90;11.5
91;7.2
92;11.5
93;10.1
94;10.5
95;12.5
96;8.5
97;15.2
98;11.2
99;9.5
100;8.5
101;13.0
102;9.0
103;5.9
104;5.2
105;5.3
106;6.7
107;5.6
108;5.0
109;5.5
110;5.0
111;6.4
112;6.0
113;5.5
114;6.8
115;5.5
116;5.6
117;5.7
118;5.8
119;6.0
120;5.4
121;5.2
122;5.3
123;5.5
124;8.0
125;5.9
126;5.5
127;6.2
128;5.3
129;5.7
130;5.0
131;6.5
132;4.8
133;7.5
134;4.5
135;6.5
136;4.3
137;4.7
138;4.2
139;4.5
140;4.8
141;5.0
142;4.7
143;5.0
144;4.0
145;4.3
146;4.2
147;5.0
148;4.1
149;5.0
150;3.5
151;4.1
152;6.0
153;3.4
154;4.2
155;5.0
156;4.3
157;4.5
158;3.6
159;4.0
160;4.5
161;4.0
162;4.0
163;5.5
164;4.2
165;4.4
166;4.3
167;3.8
168;4.0
169;3.5
170;3.7
171;4.0
172;4.8
173;4.2
174;3.5
175;4.8
176;4.1
177;11.5
178;9.0
179;12.0
180;12.0
181;8.0
182;11.5
183;5.0
184;11.5
185;5.2
186;5.0
187;4.4
188;5.0
189;5.1
190;5.1
191;5.1
192;5.0
